source1,source2,count
newstimes.com,wacotrib.com,639
fox30jax.com,greensboro.com,638
nhregister.com,wfmz.com,638
thehour.com,wacotrib.com,637
nytimes.com,reuters.com,636
actionnewsjax.com,washingtonpost.com,636
onenewsnow.com,pantagraph.com,636
chron.com,wpxi.com,635
greensboro.com,thehour.com,634
pantagraph.com,thedailytimes.com,634
chieftain.com,kiro7.com,634
greensboro.com,greenwichtime.com,633
fredericksburg.com,greensboro.com,633
lmtonline.com,newstimes.com,633
registercitizen.com,wacotrib.com,632
bakersfield.com,wacotrib.com,632
chron.com,onenewsnow.com,632
cbslocal.com,wfmz.com,631
onenewsnow.com,wacotrib.com,630
couriermail.com.au,dailytelegraph.com.au,628
chron.com,msn.com,628
iheart.com,newsmax.com,626
channelnewsasia.com,msn.com,626
readingeagle.com,wfmz.com,626
reuters.com,timesofoman.com,625
seattletimes.com,wacotrib.com,625
ctpost.com,ourmidland.com,625
fox13memphis.com,tucson.com,624
mynorthwest.com,tucson.com,624
greensboro.com,napavalleyregister.com,624
cairoscene.com,news.varna24.bg,624
herald-dispatch.com,wacotrib.com,623
greensboro.com,newstimes.com,622
bakersfield.com,princegeorgecitizen.com,622
chieftain.com,wftv.com,622
washingtonpost.com,wpxi.com,622
bradfordera.com,chron.com,621
fairfieldcitizenonline.com,nhregister.com,621
fox13memphis.com,ksl.com,621
foxnews.com,yahoo.com,620
greensboro.com,startribune.com,620
ctpost.com,nzherald.co.nz,620
msn.com,sfgate.com,619
seattletimes.com,startribune.com,619
nzherald.co.nz,wftv.com,619
thedailytimes.com,vancouversun.com,618
bradfordera.com,wacotrib.com,618
wfmz.com,wral.com,618
fox30jax.com,washingtonpost.com,617
fairfieldcitizenonline.com,newstimes.com,617
fredericksburg.com,yahoo.com,616
siouxcityjournal.com,yahoo.com,615
readingeagle.com,tampabay.com,615
mytwintiers.com,wfmz.com,615
washingtonpost.com,wftv.com,614
beaumontenterprise.com,greenwichtime.com,614
newsadvance.com,sfgate.com,614
fairfieldcitizenonline.com,middletownpress.com,614
mysanantonio.com,sfgate.com,613
greensboro.com,wftv.com,613
beaumontenterprise.com,newstimes.com,612
actionnewsjax.com,chieftain.com,612
chieftain.com,sfgate.com,611
thedailytimes.com,wfmz.com,611
bakersfield.com,pantagraph.com,611
dentonrc.com,vancouversun.com,610
bostonherald.com,greensboro.com,609
greensboro.com,stamfordadvocate.com,609
wbal.com,wfmz.com,608
expressnews.com,yahoo.com,607
ctpost.com,msn.com,607
middletownpress.com,seattlepi.com,606
chieftain.com,whig.com,606
chieftain.com,fox30jax.com,606
beaumontenterprise.com,ctpost.com,605
nhregister.com,wacotrib.com,605
couriermail.com.au,news.com.au,605
msn.com,tampabay.com,604
napavalleyregister.com,onenewsnow.com,604
beaumontenterprise.com,registercitizen.com,603
thedailytimes.com,wacotrib.com,603
herald-dispatch.com,onenewsnow.com,602
mynorthwest.com,wfmz.com,602
ksl.com,wsbtv.com,602
middletownpress.com,wfmz.com,601
princegeorgecitizen.com,timescolonist.com,601
stamfordadvocate.com,washingtonpost.com,601
kiro7.com,washingtonpost.com,600
oanow.com,onenewsnow.com,600
accesswdun.com,newsadvance.com,600
newsadvance.com,onenewsnow.com,599
nwitimes.com,onenewsnow.com,599
dailyjournal.net,yahoo.com,599
chron.com,vancouversun.com,599
chron.com,wral.com,599
oanow.com,wfmz.com,598
greensboro.com,readingeagle.com,598
chron.com,timesunion.com,598
wafa.ps,wattan.tv,598
tucson.com,wsbtv.com,597
greensboro.com,tdn.com,597
bakersfield.com,vancouversun.com,596
lmtonline.com,thehour.com,596
ctpost.com,tucson.com,596
greensboro.com,herald-review.com,595
ourmidland.com,yahoo.com,594
caledonianrecord.com,wfmz.com,594
princegeorgecitizen.com,wacotrib.com,592
princegeorgecitizen.com,thedailytimes.com,592
providencejournal.com,vancouversun.com,592
fox23.com,ksl.com,590
fairfieldcitizenonline.com,registercitizen.com,590
seattletimes.com,yahoo.com,589
greensboro.com,mynorthwest.com,588
greenwichtime.com,nzherald.co.nz,588
bradfordera.com,sfgate.com,588
fredericksburg.com,nzherald.co.nz,588
newstimes.com,wfmz.com,587
newstimes.com,seattlepi.com,587
siouxcityjournal.com,wacotrib.com,587
nzherald.co.nz,therepublic.com,587
chron.com,myplainview.com,587
seattlepi.com,wacotrib.com,587
chieftain.com,therepublic.com,586
digitaljournal.com,france24.com,585
nhregister.com,washingtonpost.com,584
greensboro.com,indiatimes.com,584
heraldmailmedia.com,valleymorningstar.com,584
france24.com,msn.com,582
fox23.com,tucson.com,582
tucson.com,wpxi.com,582
chron.com,princegeorgecitizen.com,581
registercitizen.com,wfmz.com,581
myarklamiss.com,yahoo.com,579
montrealgazette.com,wfmz.com,579
lmtonline.com,sfgate.com,579
pantagraph.com,wfmz.com,578
greensboro.com,kten.com,578
sfgate.com,therepublic.com,578
actionnewsjax.com,tucson.com,577
stamfordadvocate.com,wacotrib.com,577
registercitizen.com,washingtonpost.com,577
ksl.com,wtop.com,576
fairfieldcitizenonline.com,seattlepi.com,576
accesswdun.com,thedailytimes.com,576
greenwichtime.com,ourmidland.com,575
tucson.com,wsoctv.com,575
nhregister.com,nzherald.co.nz,574
chron.com,westport-news.com,574
greensboro.com,registercitizen.com,574
ctpost.com,ksl.com,574
chron.com,michigansthumb.com,574
pantagraph.com,wacotrib.com,573
beaumontenterprise.com,nhregister.com,573
nzherald.co.nz,seattlepi.com,573
chieftain.com,ctpost.com,572
msn.com,princegeorgecitizen.com,572
newsadvance.com,tampabay.com,572
dailyjournal.net,wfmz.com,571
dailymail.co.uk,english.wafa.ps,571
chieftain.com,mychamplainvalley.com,571
sfgate.com,wftv.com,570
nbcnews.com,yahoo.com,570
chron.com,theintelligencer.com,569
bostonherald.com,wfmz.com,569
nzherald.co.nz,wbal.com,569
ourmidland.com,sfgate.com,568
accesswdun.com,washingtonpost.com,568
greensboro.com,qctimes.com,568
chieftain.com,tdn.com,567
msn.com,tucson.com,567
middletownpress.com,wacotrib.com,567
pantagraph.com,princegeorgecitizen.com,567
chieftain.com,greenwichtime.com,567
indiatimes.com,onenewsnow.com,566
msn.com,newstimes.com,566
pantagraph.com,vancouversun.com,566
iheart.com,knoxnews.com,566
mrt.com,sfgate.com,565
ksl.com,wsoctv.com,565
tucson.com,wftv.com,565
wtop.com,yahoo.com,564
iheart.com,imirante.com,564
onenewsnow.com,wsoctv.com,564
greensboro.com,kfbb.com,563
vancouversun.com,yahoo.com,563
iheart.com,the-star.co.ke,563
fairfieldcitizenonline.com,westport-news.com,562
greensboro.com,hickoryrecord.com,562
fox30jax.com,tucson.com,562
autonews.com,reuters.com,562
nhregister.com,tucson.com,562
bakersfield.com,missoulian.com,562
mynorthwest.com,yahoo.com,561
readingeagle.com,tucson.com,561
sfchronicle.com,yahoo.com,561
heraldcourier.com,yahoo.com,561
greensboro.com,siouxcityjournal.com,561
greensboro.com,mychamplainvalley.com,560
chron.com,oanow.com,560
tampabay.com,wsbtv.com,559
fox13memphis.com,tampabay.com,558
missoulian.com,tdn.com,558
msn.com,thehour.com,558
cbslocal.com,yahoo.com,558
chieftain.com,nhregister.com,558
hickoryrecord.com,wacotrib.com,557
seattlepi.com,washingtonpost.com,557
greensboro.com,time.com,557
middletownpress.com,washingtonpost.com,557
newsadvance.com,wral.com,557
caledonianrecord.com,greensboro.com,556
princegeorgecitizen.com,wsoctv.com,556
hickoryrecord.com,washingtonpost.com,555
princegeorgecitizen.com,providencejournal.com,555
marketscreener.com,reuters.com,555
newsadvance.com,wsoctv.com,555
english.wafa.ps,timesofisrael.com,554
fox30jax.com,ksl.com,554
fox13memphis.com,sfgate.com,554
greenwichtime.com,westport-news.com,554
onenewsnow.com,wral.com,554
greensboro.com,ky3.com,554
greensboro.com,msn.com,553
kiro7.com,ksl.com,553
whig.com,yahoo.com,552
middletownpress.com,ourmidland.com,552
ottawacitizen.com,yahoo.com,552
dentonrc.com,princegeorgecitizen.com,552
greenwichtime.com,lmtonline.com,551
iheart.com,ktvb.com,551
greensboro.com,nhregister.com,551
sfgate.com,wsbtv.com,551
newsadvance.com,princegeorgecitizen.com,550
seattletimes.com,tucson.com,550
greensboro.com,seattlepi.com,550
keyt.com,wfmz.com,549
