GLOBALEVENTID,MentionSourceName,f0_
791213477,wek.ru,1
791213320,wek.ru,1
791214044,wek.ru,1
791213321,wek.ru,1
791213282,wek.ru,1
791145388,wek.ru,1
791104045,wek.ru,1
791214119,wek.ru,1
791212969,wek.ru,1
791213292,wek.ru,1
791213858,wek.ru,1
791214147,wek.ru,1
791213452,wek.ru,1
791214149,wek.ru,1
791213856,wek.ru,1
791213980,wek.ru,1
791213791,wek.ru,1
791139612,wek.ru,1
791082661,wek.ru,1
791213251,wek.ru,1
791213033,wek.ru,1
791213191,wek.ru,1
791102824,wek.ru,1
791130838,wek.ru,1
791213857,wek.ru,1
791213139,wek.ru,1
791144862,wek.ru,1
791213904,wek.ru,1
791213993,wek.ru,1
791214020,wek.ru,1
791213859,wek.ru,1
791213135,wek.ru,1
791213189,wek.ru,1
791213034,wek.ru,1
791213627,wek.ru,1
791131522,wek.ru,1
791213918,wek.ru,1
791213022,wek.ru,1
791213190,wek.ru,1
791210570,wos.nl,1
791081541,yle.fi,1
791081529,yle.fi,1
791081523,yle.fi,1
791081038,zch.ro,1
791095562,zik.ua,1
791204674,zik.ua,1
791213250,24pr.de,1
791213459,24pr.de,1
791213001,24pr.de,1
791184951,24tv.ua,1
791214108,24tv.ua,1
791214107,24tv.ua,1
791131553,24tv.ua,1
791197328,24tv.ua,1
791214109,24tv.ua,1
791210356,24tv.ua,1
791131911,ajc.com,1
791094808,ajc.com,1
791131758,ajc.com,1
791130686,ajc.com,1
791091114,ajc.com,1
791131792,ajc.com,1
791131754,ajc.com,1
791131757,ajc.com,1
791093831,ajc.com,1
791131755,ajc.com,1
791207185,ajel.sa,1
791207392,ansa.it,1
791162786,ansa.it,1
791209960,ansa.it,1
791084220,ansa.it,1
791033713,ansa.it,1
791206873,ansa.it,1
791207390,ansa.it,1
791207246,ansa.it,1
791085523,ansa.it,1
791207391,ansa.it,1
791081738,ansa.it,1
791112652,ansa.it,1
791092211,ansa.it,1
791088176,ara.cat,1
791196454,ara.cat,1
791200144,ara.cat,1
791213408,ara.cat,1
791088175,ara.cat,1
791213229,ara.cat,1
791137822,ara.cat,1
791213405,ara.cat,1
791138854,ara.cat,1
791213951,ara.cat,1
791193529,ara.cat,1
791213949,ara.cat,1
791199757,ara.cat,1
791213901,ara.cat,1
791213267,ara.cat,1
791175469,ara.cat,1
791213579,ara.cat,1
791097592,ara.cat,1
791213383,ara.cat,1
791213240,ara.cat,1
791125947,ara.cat,1
791136810,avgi.gr,1
791197049,avgi.gr,1
791196466,avgi.gr,1
791213016,avgi.gr,1
791081754,avgi.gr,1
791088737,avgi.gr,1
791208818,b92.net,1
791084765,b985.fm,1
791157193,b985.fm,1
791157883,b985.fm,1
791175297,baon.hu,1
791209943,baon.hu,1
791175296,baon.hu,1
791175993,baon.hu,1
791201180,bbc.com,1
791197953,bbc.com,1
791201537,bbc.com,1
791198701,bbc.com,1
791198334,bbc.com,1
791198222,bbc.com,1
791208457,bbc.com,1
791201534,bbc.com,1
791198727,bbc.com,1
791198331,bbc.com,1
791198234,bbc.com,1
791201514,bbc.com,1
791123630,bbc.com,1
791205375,bbc.com,1
791210164,bbc.com,1
791158983,bbc.com,1
791198332,bbc.com,1
791202373,bbc.com,1
791208525,bbc.com,1
791198224,bbc.com,1
791197950,bbc.com,1
791201535,bbc.com,1
791198228,bbc.com,1
791210675,bbc.com,1
791198335,bbc.com,1
791198726,bbc.com,1
791197949,bbc.com,1
791081738,bbc.com,1
791201516,bbc.com,1
791198218,bbc.com,1
791202372,bbc.com,1
791198223,bbc.com,1
791210648,bbc.com,1
791201177,bbc.com,1
791091886,bbc.com,1
791198725,bbc.com,1
791198333,bbc.com,1
791210676,bbc.com,1
791201520,bbc.com,1
791208458,bbc.com,1
791201536,bbc.com,1
791197951,bbc.com,1
791174937,bbc.com,1
791201515,bbc.com,1
791209857,bbc.com,1
791198700,bbc.com,1
791096534,bbc.com,1
791093336,bhrt.ba,1
791088394,bhrt.ba,1
791156423,bhrt.ba,1
791119221,bhrt.ba,1
791125939,bhrt.ba,1
791210430,bhrt.ba,1
791175464,bild.de,1
791176006,bild.de,1
791206922,bk55.ru,1
791213798,bk55.ru,1
791213799,bk55.ru,1
791209972,blic.rs,1
791088240,blic.rs,1
791209973,blic.rs,1
791207029,blic.rs,1
791204610,blic.rs,1
791207748,blic.rs,1
791207747,blic.rs,1
791089307,blic.rs,1
791213473,blic.rs,1
791200396,blic.rs,1
791210191,blic.rs,1
791208143,bna.com,1
791208681,bna.com,1
791175703,bumm.sk,1
791173246,bumm.sk,1
791210023,bumm.sk,1
791210031,bumm.sk,1
791081533,bumm.sk,1
791117478,bumm.sk,1
791173240,bumm.sk,1
791124907,cbn.com,1
783658555,cbn.com,1
783658430,cbn.com,1
791147925,cbn.com,1
783659078,cbn.com,1
791121797,cbn.com,1
791097200,cbn.com,1
791129281,cbn.com,1
791118588,cbn.com,1
791101165,cbn.com,1
791203014,cbn.com,1
791176114,cbn.com,1
783658428,cbn.com,1
791097201,cbn.com,1
785390337,cbn.com,1
785390338,cbn.com,1
791087757,cbn.com,1
791131881,cbn.com,1
791129282,cbn.com,1
791118915,cbn.com,1
791194885,cbn.com,1
791147926,cbn.com,1
791124905,cbn.com,1
791124902,cbn.com,1
791103244,cbn.com,1
791124900,cbn.com,1
791124903,cbn.com,1
791132069,chip.de,1
791131569,cio.com,1
791208142,cnn.com,1
791160964,cnn.com,1
791208247,cnn.com,1
791087632,cnn.com,1
791209166,cnn.com,1
791209168,cnn.com,1
791208276,cnn.com,1
791209162,cnn.com,1
791208275,cnn.com,1
791208227,cnn.com,1
791192491,cnn.com,1
791173698,cnn.com,1
791209165,cnn.com,1
791209167,cnn.com,1
791208225,cnn.com,1
791192487,cnn.com,1
791209193,cnn.com,1
791110557,cnn.com,1
791208224,cnn.com,1
791115427,cnn.com,1
791208262,cnn.com,1
791118046,cnn.com,1
791207992,cnn.com,1
791209169,cnn.com,1
791208274,cnn.com,1
791208261,cnn.com,1
791161390,cnn.com,1
791091489,cnn.com,1
791208226,cnn.com,1
791130773,cnn.com,1
791192963,cnn.com,1
791208217,cnn.com,1
791086451,cnn.com,1
791190052,cnn.com,1
791174113,cope.es,1
791207604,crtv.cm,1
791207724,depo.ua,1
791213619,depo.ua,1
791207269,depo.ua,1
791181905,depo.ua,1
791204724,depo.ua,1
791167580,depo.ua,1
791214054,depo.ua,1
791167582,depo.ua,1
791100873,depo.ua,1
791127289,depo.ua,1
791181904,depo.ua,1
791194287,depo.ua,1
791204574,depo.ua,1
791158556,depo.ua,1
791213618,depo.ua,1
791200644,depo.ua,1
791214152,depo.ua,1
791181903,depo.ua,1
791207087,depo.ua,1
791167281,depo.ua,1
791149338,depo.ua,1
791207088,depo.ua,1
791207268,depo.ua,1
791204727,depo.ua,1
791207317,depo.ua,1
791207316,depo.ua,1
791207746,depo.ua,1
791214055,depo.ua,1
791214004,depo.ua,1
791136852,depo.ua,1
791207315,depo.ua,1
791084769,duke.fm,1
791174842,duke.fm,1
791173745,duke.fm,1
791174082,duke.fm,1
791174908,duke.fm,1
791175993,duol.hu,1
791175296,duol.hu,1
791209943,duol.hu,1
791175297,duol.hu,1
791208242,ecfr.eu,1
791208239,ecfr.eu,1
791208943,ecfr.eu,1
791208689,ecfr.eu,1
791208240,ecfr.eu,1
791208945,ecfr.eu,1
791208244,ecfr.eu,1
791208948,ecfr.eu,1
791208951,ecfr.eu,1
791208949,ecfr.eu,1
791208214,ecfr.eu,1
791208947,ecfr.eu,1
791208944,ecfr.eu,1
791208241,ecfr.eu,1
791208950,ecfr.eu,1
791208246,ecfr.eu,1
791208245,ecfr.eu,1
791208946,ecfr.eu,1
791208243,ecfr.eu,1
791083897,ecfr.eu,1
791210205,elle.fr,1
791200529,emea.gr,1
791091489,emea.gr,1
791187760,emea.gr,1
791148384,emea.gr,1
791213166,emea.gr,1
791171863,emea.gr,1
791213423,emea.gr,1
791201638,esrf.eu,1
791201191,esrf.eu,1
791201645,esrf.eu,1
791201637,esrf.eu,1
791203171,esrf.eu,1
791127993,faz.net,1
791213478,faz.net,1
791214074,faz.net,1
791210147,gda.com,1
791150498,gda.com,1
