mentions_count,person
187,Julian Assange
187,Albus Dumbledore
187,Zoe Kravitz
187,Jose Luis
186,Demi Lovatohas
186,Friuli Venice Giulia
186,Jeffrey Reinking
186,Tyler Barriss
186,Gordana Jankulovska
185,David Parry
185,Bhumchu Zangmo
185,Katherine Macgregor
185,Lily Allen
185,Jeff Karoub
185,Doug Jones
184,Iveta Luzumova
184,Xavi Pascual
184,Frans Timmermans
184,Sanjay Leela Bhansali
184,Kane Brown
183,Jim Bridenstine
183,Trisha Yearwood
183,Brian Whitney
183,Koji Sasahara
183,Alan Suderman
183,Jeanne Ives
183,John Antczak
183,Kurt Schrader
182,Jon Woods
182,Fred Ryan
182,Gareth Southgate
182,Maren Morris
182,Max Scherzer
181,Kevin Mayer
181,Imtiaz Muhammad
181,Panionios Panathinaikos
181,Ismail Haniyeh
181,Ronnie Watts
181,Dennis Tajer
181,Stephen Braun
181,Dmitry Peskov
181,Tanah Merah
180,Tatran Presov
180,Nicolai Kolding
180,Buster Scruggs
180,Natalia Chigirinova
180,Ola Lindgren
180,Muhammad Ben Salman
180,Maruti Suzuki
180,Scott Gelston
180,Mary Moran
180,Slavko Goluza
180,Abu Rahmeh
180,Kelly Clarkson
179,Nanda Pratama
179,George Soros
179,Jenna Dewan
179,Michel Aoun
179,Matt Morawiecki
179,Steve Bullock
179,Jay Carney
179,Simone Halep
178,David Maimon
178,Hassan Nasrallah
178,Ralph Northam
178,Conor Burns
178,Tim Ryan
177,Duke Ellington
177,Ashton Eaton
177,Livia Balogh
177,Michael Chrisochodis
177,Matthew Barakat
177,Charles Dicken
177,George Strait
177,David Lidington
177,Zhou Xun
176,Laszlo Brenzovics
176,Al Mahkamah Al Ulya
176,Kendrick Lamar
176,Waleed Aly
176,Liz Mcmillan
176,Jozsef Kantor
175,Adam Ebbin
175,Steve Kerr
175,Jeff Willner
175,Woodrow Wilson
175,Kang Granville
175,Jean-Bernard Caron
175,Prakash Chautala
175,Pedro Pascal
174,Petr David Josek
174,Alexander Zverev
174,Ted Olson
174,Yashwant Sinha
174,Enggartiasto Lukita
174,Langston Hughes
174,Cecilia Malmstrom
173,Barry Lynn
173,Stefania Pucciarelli
173,Matt Caldwell
173,Kirstjen Nielson
173,Sonia Gandhi
173,Tim Walz
172,Ya Tsu
172,Paul Biya
172,Aaron Nola
171,Patrick Wardell
171,George Bailey
171,Nick Clark
171,Meghan Trainor
171,Haley Britzky
171,Jean Claude Juncker
171,Zach Montelarro
170,Abu Sharar
170,John Karl
170,Bob Dylan
170,Artem Kozakevych
170,Jon Elswick
170,Abu Mazen
170,Spongebob Squarepants
170,Miguel Angel Soto
169,Emily Ratajkowski
169,Brent Newman
169,Gennady Zubko
168,Julia Tymoshenko
168,Aleksandr Gauland
168,Anil Ambani
168,Derek Trucks
168,Deval Patrick
168,Theodore Boutrous
168,Shah Rukh Khan
167,Lauren Jauregui
167,Michael Avenatti
167,John Mcguire
167,Nigel Dodds
167,Laura Levis
166,Sherrod Brown
166,Jane Russell
166,Margo Williams
166,Juergen Maier
166,Corey Kluber
166,Ralph Lauren
166,Esteban Felix
166,Mahatma Gandhi
166,Mark Wahlberg
166,Lauran Neergaard
165,Strom Thurmond
165,Heiko Maas
165,Shashi Tharoor
165,Tony Williams
165,Rosalyn Carter
165,Abu Amr
164,Chapo Guzman
164,Roch Marc Christian
164,Ken Ludwig
164,Szijjrt Peter
164,Jean Shepherd
163,Michael Jackson
163,Klay Thompson
163,Lori Mckenna
163,Allah Hanna
163,Paola Nugnes
163,Kanye Westripped
162,Eric Jurenas
162,Neil Goldberg
162,Vince Guaraldi
162,Elijah Langille
162,Brian Odonovan
162,Susan Tedeschi
162,Jin Kim
162,Merkel Angela Merkel
162,Jonathan Pangburn
162,Rhett Miller
162,Elizabeth Debicki
162,Chip Davis
162,Gavin Lee
162,Louis Orban
161,Shirley Holmes
161,Emmerson Mnangagwa
161,Emily Kneussle
161,Ingrid Michaelson
161,Kennedy Luce-Burke
161,Slambovian Christmas
161,Ryan Landry
161,Clyde Nantais
161,Mikko Nissinen
